Id,SalePrice
1461,122821.02384293787
1462,149458.42623348776
1463,158077.22739001745
1464,174063.8171938951
1465,192074.93966564946
1466,173593.03205133564
1467,169816.69039552778
1468,175381.2024482966
1469,189401.2941052979
1470,128113.43909498194
1471,190816.0726730388
1472,104951.32644317005
1473,99400.18374212342
1474,140867.17738586286
1475,140820.44206740047
1476,469347.56166670873
1477,256957.31674206638
1478,312357.574897724
1479,307413.9128156671
1480,490219.6006373439
1481,311728.2467260665
1482,215435.9152476276
1483,179062.31954068554
1484,168516.23467287942
1485,159840.5137711337
1486,188899.50087827406
1487,375845.6402655765
1488,264350.16023512295
1489,203500.95868370336
1490,199063.81140291982
1491,187350.62788396378
1492,97337.61042245613
1493,182272.23397923537
1494,289633.59114366496
1495,266784.47627004154
1496,230283.57307521193
1497,180251.67917908012
1498,151532.54782501183
1499,148898.70469740147
1500,151288.57732950448
1501,184131.59725516714
1502,148378.0059651926
1503,308563.0977818346
1504,237214.16049490636
1505,218413.27415483329
1506,187534.61992488074
1507,211888.00411173687
1508,206823.7703118239
1509,171243.24998552917
1510,152405.81815973317
1511,155868.52619949167
1512,152808.69544059728
1513,167815.78179632287
1514,104859.9724592055
1515,177639.87074802004
1516,178061.3973679007
1517,147227.2037846779
1518,141219.9708270157
1519,212069.5868067851
1520,140783.16203682922
1521,137965.8014023172
1522,174440.73822512056
1523,125226.96062821381
1524,121107.52339859112
1525,120879.72737720744
1526,112344.1650400742
1527,82498.17737769563
1528,127414.53604661685
1529,140661.41164431314
1530,169144.49997710888
1531,100656.70683810639
1532,93723.20390851033
1533,138974.59052911427
1534,113871.04651453176
1535,149687.78703310472
1536,118589.68219625617
1537,48375.9063995266
1538,177017.04092012363
1539,160629.61336934185
1540,110300.32975969903
1541,141141.54951447653
1542,143609.76349347256
1543,231771.4708854788
1544,75060.16527394904
1545,83589.94787624477
1546,116528.65423875133
1547,129024.06434625732
1548,129111.48856070751
1549,104131.8453503783
1550,139668.24431896966
1551,105754.03699565456
1552,92084.69396266989
1553,137071.70208268237
1554,109771.90964206941
1555,164549.12453879992
1556,133839.27154687938
1557,130826.63775180944
1558,95397.51896979936
1559,93653.25047160905
1560,114249.48868663989
1561,133050.85096210506
1562,129709.9624205108
1563,110440.73088144226
1564,159160.79745509266
1565,142712.45648380573
1566,235256.94707681236
1567,79233.58031562142
1568,220234.56009002015
1569,120594.74408708488
1570,115674.44743285276
1571,117978.91513679344
1572,133550.0668441125
1573,250101.04077012045
1574,139290.6833224482
1575,207372.1504863583
1576,183104.8594655217
1577,225861.94303881546
1578,127687.518237256
1579,117047.28901025662
1580,197909.0839604955
1581,136673.85806423085
1582,127380.53664782582
1583,297051.4070953939
1584,215643.60409379963
1585,144229.41858755957
1586,70920.28673908304
1587,76437.66684710859
1588,136712.38751335157
1589,96504.1940891766
1590,131637.61207673044
1591,99389.27619470916
1592,121360.43540119601
1593,119465.56774474151
1594,104608.41500393912
1595,132144.83114338256
1596,207957.39119568016
1597,187928.1086266675
1598,178041.1338359418
1599,160966.55594114357
1600,184593.7774893417
1601,55870.62438466271
1602,93832.38169889193
1603,76075.80398517475
1604,270393.66537809954
1605,244288.0145106832
1606,167249.99465127348
1607,155190.0497799447
1608,224435.8980157315
1609,202531.74253508955
1610,162501.4019416822
1611,140259.64054605956
1612,167904.8214480554
1613,147577.39098868548
1614,113998.5460671174
1615,81932.66799381649
1616,76793.86659848994
1617,77934.98517103538
1618,123850.44751673225
1619,139590.93810258413
1620,183452.09705031558
1621,132322.17471416376
1622,138408.42623246906
1623,256811.28441795558
1624,206490.3613935118
1625,122754.4297035436
1626,161197.89089732242
1627,179205.9931127351
1628,283547.95953619876
1629,182256.12523963823
1630,396072.37559240416
1631,218788.77144918015
1632,253985.24841385978
1633,171072.88494867232
1634,184356.529236315
1635,174837.79112000784
1636,162827.60488030408
1637,170351.00853819138
1638,208468.32853676152
1639,180621.2807416128
1640,262734.2119003086
1641,168362.48575502267
1642,207486.07352400964
1643,242535.3866208228
1644,246288.20734307665
1645,176754.55573546138
1646,150981.73705970272
1647,165417.72473936394
1648,157610.9903605002
1649,127312.53557171529
1650,110686.50616521893
1651,124039.0414941163
1652,107150.66488153074
1653,108946.14624545557
1654,156431.66794673097
1655,148745.68348123506
1656,146546.39834187133
1657,152515.05144246272
1658,145413.3124639219
1659,147025.45339603553
1660,150724.62920944163
1661,485975.479506663
1662,446222.9045665347
1663,390871.980098354
1664,563105.5899415603
1665,334649.88344098104
1666,305054.3874246592
1667,369352.8665324889
1668,333272.99551512126
1669,290705.4310195566
